Region,Suburb,Year,Total Description,Value
Inner South,Yarralumla,2011,Labour force status - Census : Not in the labour force (%),33.3
Inner South,Yarralumla,2011,Labour force status - Census : Total responding population aged 15-64 years (no.),24.0
Inner South,Yarralumla,2011,Labour force status - Census : % of total Census responding population employed,37.5
Inner South,Yarralumla,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),0.0
Inner South,Yarralumla,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),0.0
Inner South,Yarralumla,2011,Unpaid child care - Census : Cared for own child/children (no.),5.0
Inner South,Yarralumla,2011,Unpaid child care - Census : Cared for own child/children (%),20.8
Inner South,Yarralumla,2011,Unpaid child care - Census : Cared for other child/children (no.),0.0
Inner South,Yarralumla,2011,Unpaid child care - Census : Cared for other child/children (%),0.0
Inner South,Yarralumla,2011,Unpaid child care - Census : Total provided unpaid child care (no.),3.0
Inner South,Yarralumla,2011,Unpaid child care - Census : Total provided unpaid child care (%),12.5
Inner South,Yarralumla,2011,Unpaid child care - Census : Did not provide unpaid child care (no.),14.0
Inner South,Yarralumla,2011,Unpaid child care - Census : Did not provide unpaid child care (%),58.3
Inner South,Yarralumla,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),3.0
Inner South,Yarralumla,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),12.5
Inner South,Yarralumla,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),19.0
Inner South,Yarralumla,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),59.4
Inner South,Yarralumla,2011,Tenure type - Census : Renter (no.),3.0
Inner South,Yarralumla,2011,Tenure type - Census : Renter (%),9.4
Inner South,Yarralumla,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),3.0
Inner South,Yarralumla,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),3.0
Inner South,Yarralumla,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",5.0
Inner South,Yarralumla,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",38.5
Inner South,Yarralumla,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),13.0
Inner South,Yarralumla,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),5.0
Inner South,Yarralumla,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),35.7
Inner South,Yarralumla,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),14.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),28.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),90.3
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),3.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),9.7
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Inner South,Yarralumla,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),31.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : Total responding population aged 15-64 years (no.),0.0
Inner South,Parkes & Capital Hill,2011,"Engagement in employment, education or training - Census : Fully engaged (%)",0.0
Inner South,Parkes & Capital Hill,2011,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",0.0
Inner South,Parkes & Capital Hill,2011,"Engagement in employment, education or training - Census : Not engaged (%)",0.0
Inner South,Parkes & Capital Hill,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",0.0
Inner South,Parkes & Capital Hill,2011,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),0.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : Employed (no.),0.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : % of total labour force employed,0.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : % of total Census responding population employed,0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : In the labour force (no.),0.0
Inner South,Parkes & Capital Hill,2011,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),0.0
Inner South,Parkes & Capital Hill,2011,Language - Census : Speaks English at home (%),0.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : Labour force participation rate (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),0.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : Not in the labour force (%),0.0
Inner South,Parkes & Capital Hill,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),0.0
Inner South,Parkes & Capital Hill,2011,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),0.0
Inner South,Parkes & Capital Hill,2011,Tenure type - Census : Renter (no.),0.0
Inner South,Parkes & Capital Hill,2011,Tenure type - Census : Renter (%),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),0.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : Unemployed (no.),0.0
Inner South,Parkes & Capital Hill,2011,Labour force status - Census : % of total labour force unemployed,0.0
Inner South,Parkes & Capital Hill,2011,Unpaid child care - Census : Cared for own child/children (no.),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid child care - Census : Cared for own child/children (%),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid child care - Census : Cared for other child/children (no.),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid child care - Census : Cared for other child/children (%),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid child care - Census : Total provided unpaid child care (no.),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid child care - Census : Total provided unpaid child care (%),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid child care - Census : Did not provide unpaid child care (no.),0.0
Inner South,Parkes & Capital Hill,2011,Unpaid child care - Census : Did not provide unpaid child care (%),0.0
Inner South,Parkes & Capital Hill,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),0.0
Inner South,Parkes & Capital Hill,2011,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),0.0
Inner South,Parkes & Capital Hill,2011,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),0.0
